  0:	proc  - (:root:) creates proc  0 (Screen)
  0:	proc  - (:root:) creates proc  1 (User)
  0:	proc  - (:root:) creates proc  2 (Server)
 89:	proc  0 (Screen:1) Katsupay_spin.pml:52 (state 37)	[HTTP_ch!req_HTTP_getbalance]
 89:	proc  2 (Server:1) Katsupay_spin.pml:198 (state 16)	[HTTP_ch?req_HTTP_getbalance]
 90:	proc  2 (Server:1) Katsupay_spin.pml:199 (state 17)	[Server_state = HTTP_receive]
 91:	proc  0 (Screen:1) Katsupay_spin.pml:26 (state 49)	[break]
 92:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
 93:	proc  0 (Screen:1) Katsupay_spin.pml:77 (state 71)	[((Screen_state==s_csuc))]
 94:	proc  2 (Server:1) Katsupay_spin.pml:201 (state 18)	[HTTP_ch!suc_HTTP_getbalance]
 94:	proc  0 (Screen:1) Katsupay_spin.pml:79 (state 72)	[HTTP_ch?suc_HTTP_getbalance]
 95:	proc  1 (User:1) Katsupay_spin.pml:158 (state 54)	[Screen_ch!press_tocharge_btn]
 95:	proc  0 (Screen:1) Katsupay_spin.pml:82 (state 75)	[Screen_ch?press_tocharge_btn]
 96:	proc  0 (Screen:1) Katsupay_spin.pml:82 (state 76)	[Screen_state = s_charge]
 97:	proc  0 (Screen:1) Katsupay_spin.pml:84 (state 78)	[.(goto)]
 98:	proc  0 (Screen:1) Katsupay_spin.pml:84 (state 79)	[goto :b3]
 99:	proc  1 (User:1) Katsupay_spin.pml:159 (state 55)	[((Screen_state==s_charge))]
100:	proc  2 (Server:1) Katsupay_spin.pml:204 (state 22)	[Server_state = HTTP_waiting]
101:	proc  0 (Screen:1) Katsupay_spin.pml:60 (state 50)	[((Screen_state==s_charge))]
102:	proc  2 (Server:1) Katsupay_spin.pml:206 (state 24)	[.(goto)]
103:	proc  2 (Server:1) Katsupay_spin.pml:207 (state 26)	[.(goto)]
104:	proc  2 (Server:1) Katsupay_spin.pml:182 (state 1)	[((Server_state==HTTP_waiting))]
105:	proc  1 (User:1) Katsupay_spin.pml:161 (state 57)	[.(goto)]
